,lid,uid,date,quarter,filename_enc,filename_websafe
1,1,2,1,2,1stAD_P.Oxy. 282.jpg,1stAD_P.Oxy.%20282.jpg
1,2,2,1,2,1stAD_P.Oxy. 282.jpg,1stAD_P.Oxy.%20282.jpg
1,3,2,1,2,1stAD_P.Oxy. 282.jpg,1stAD_P.Oxy.%20282.jpg
1,4,2,1,2,1stAD_P.Oxy. 282.jpg,1stAD_P.Oxy.%20282.jpg
2,5,3,1,5,1stAD_P.Oxy. 216 picture.png,1stAD_P.Oxy.%20216%20picture.jpg
2,6,3,1,5,1stAD_P.Oxy. 216 picture.png,1stAD_P.Oxy.%20216%20picture.jpg
2,7,3,1,5,1stAD_P.Oxy. 216 picture.png,1stAD_P.Oxy.%20216%20picture.jpg
2,8,3,1,5,1stAD_P.Oxy. 216 picture.png,1stAD_P.Oxy.%20216%20picture.jpg
2,9,3,1,5,1stAD_P.Oxy. 216 picture.png,1stAD_P.Oxy.%20216%20picture.jpg
2,10,3,1,5,1stAD_P.Oxy. 216 picture.png,1stAD_P.Oxy.%20216%20picture.jpg
2,11,3,1,5,1stAD_P.Oxy. 216 picture.png,1stAD_P.Oxy.%20216%20picture.jpg
2,12,3,1,5,1stAD_P.Oxy. 216 picture.png,1stAD_P.Oxy.%20216%20picture.jpg
3,13,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,14,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,15,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,16,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,17,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,18,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,19,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,20,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,21,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,22,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,23,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,24,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,25,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,26,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,27,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,28,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,29,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
3,30,4,1,3,1stAD_P.Oxy. 3916.jpg,1stAD_P.Oxy.%203916.jpg
4,31,5,1,3,1stAD_P.Oxy. 246 picture.png,1stAD_P.Oxy.%20246%20picture.jpg
4,32,5,1,3,1stAD_P.Oxy. 246 picture.png,1stAD_P.Oxy.%20246%20picture.jpg
4,33,5,1,3,1stAD_P.Oxy. 246 picture.png,1stAD_P.Oxy.%20246%20picture.jpg
4,34,5,1,3,1stAD_P.Oxy. 246 picture.png,1stAD_P.Oxy.%20246%20picture.jpg
4,35,5,1,3,1stAD_P.Oxy. 246 picture.png,1stAD_P.Oxy.%20246%20picture.jpg
4,36,5,1,3,1stAD_P.Oxy. 246 picture.png,1stAD_P.Oxy.%20246%20picture.jpg
5,37,6,1,before 87,1stAD_P.Ryl. III 540 picture.png,1stAD_P.Ryl.%20III%20540%20picture.jpg
